"filename", "language", "PHP", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\Juan\Desktop\2ºDAW\Servidor\ProyectoPhp\Controlador\cont_AltaDep.php", "PHP", 23, 0, 0, 0, 7, 30
"c:\Users\Juan\Desktop\2ºDAW\Servidor\ProyectoPhp\Controlador\cont_AltaEmp.php", "PHP", 30, 0, 0, 0, 3, 33
"c:\Users\Juan\Desktop\2ºDAW\Servidor\ProyectoPhp\Controlador\cont_BajaDep.php", "PHP", 17, 0, 0, 2, 5, 24
"c:\Users\Juan\Desktop\2ºDAW\Servidor\ProyectoPhp\Controlador\cont_BajaEmp.php", "PHP", 13, 0, 0, 0, 4, 17
"c:\Users\Juan\Desktop\2ºDAW\Servidor\ProyectoPhp\Controlador\cont_Empleados.php", "PHP", 10, 0, 0, 0, 6, 16
"c:\Users\Juan\Desktop\2ºDAW\Servidor\ProyectoPhp\Controlador\cont_EmpleadosCPD.php", "PHP", 13, 0, 0, 1, 6, 20
"c:\Users\Juan\Desktop\2ºDAW\Servidor\ProyectoPhp\Controlador\cont_EmpleadosCompletos.php", "PHP", 12, 0, 0, 3, 5, 20
"c:\Users\Juan\Desktop\2ºDAW\Servidor\ProyectoPhp\Controlador\cont_ModificarDep.php", "PHP", 20, 0, 0, 0, 7, 27
"c:\Users\Juan\Desktop\2ºDAW\Servidor\ProyectoPhp\Controlador\cont_ModificarEmp.php", "PHP", 47, 0, 0, 3, 13, 63
"c:\Users\Juan\Desktop\2ºDAW\Servidor\ProyectoPhp\Controlador\cont_MostrarEmp.php", "PHP", 30, 0, 0, 0, 5, 35
"c:\Users\Juan\Desktop\2ºDAW\Servidor\ProyectoPhp\Controlador\cont_login.php", "PHP", 17, 0, 0, 0, 2, 19
"c:\Users\Juan\Desktop\2ºDAW\Servidor\ProyectoPhp\Controlador\cont_logout.php", "PHP", 10, 0, 0, 4, 3, 17
"c:\Users\Juan\Desktop\2ºDAW\Servidor\ProyectoPhp\DAO\CredencialesBBDD.php", "PHP", 29, 0, 0, 6, 9, 44
"c:\Users\Juan\Desktop\2ºDAW\Servidor\ProyectoPhp\DAO\DepartamentoBBDD.php", "PHP", 143, 0, 0, 7, 38, 188
"c:\Users\Juan\Desktop\2ºDAW\Servidor\ProyectoPhp\DAO\EmpleadoBBDD.php", "PHP", 271, 0, 0, 1, 61, 333
"c:\Users\Juan\Desktop\2ºDAW\Servidor\ProyectoPhp\DAO\operacionesBBDD.php", "PHP", 22, 0, 0, 0, 3, 25
"c:\Users\Juan\Desktop\2ºDAW\Servidor\ProyectoPhp\Modelo\Departamento.php", "PHP", 28, 0, 0, 0, 22, 50
